"2015-06-16T08:58:57.212522-05:00 radius4.big.campus.edu radius.auth1[2185]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 134 (0s wait, 0s elapsed, 0s total)"
"2015-06-16T08:22:47.368471-05:00 radius4.big.campus.edu radius.auth1[2185]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 137 (0s wait, 0s elapsed, 0s total)"
"2015-06-15T16:42:19.618083-05:00 radius1.big.campus.edu radius.auth1[31325]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 255 (0s wait, 0s elapsed, 0s total)"
"2015-06-15T15:44:18.815721-05:00 radius1.big.campus.edu radius.auth1[31325]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 201 (0s wait, 0s elapsed, 0s total)"
"2015-06-15T14:57:42.524504-05:00 radius1.big.campus.edu radius.auth1[31325]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 114 (0s wait, 0s elapsed, 0s total)"
"2015-06-15T14:29:52.631202-05:00 radius1.big.campus.edu radius.auth2[31321]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 226 (0s wait, 0s elapsed, 0s total)"
"2015-06-15T14:12:40.704900-05:00 radius1.big.campus.edu radius.auth1[31325]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 2 (0s wait, 0s elapsed, 0s total)"
"2015-06-15T12:18:52.117165-05:00 radius1.big.campus.edu radius.auth1[31325]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 175 (0s wait, 0s elapsed, 0s total)"
"2015-06-15T12:02:05.128412-05:00 radius1.big.campus.edu radius.auth1[31325]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 64 (0s wait, 0s elapsed, 0s total)"
"2015-06-15T08:46:04.954770-05:00 radius1.big.campus.edu radius.auth1[31325]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 164 (0s wait, 0s elapsed, 0s total)"
